"DiseaseID","GeneID","Phenotype"
"Dia2_0128","GE_0266","GrowthretardationwithdeafnessandmentalretardationduetoIGF1deficiency"
"Dia2_0129","GE_0267","Alstromsyndrome"
"Dia2_0130","GE_0268","NULL"
"Dia2_0131","GE_0269","Fanconirenotubularsyndrome4,withmaturity-onsetdiabetesoftheyoung"
"Dia2_0132","GE_0270","NULL"
"Dia2_0133","GE_0271","NULL"
"Dia2_0134","GE_0272","{Microvascularcomplicationsofdiabetes6}"
"Dia2_0135","GE_0273","{Microvascularcomplicationsofdiabetes4}"
"Dia2_0136","GE_0274","[Glycerolquantitativetraitlocus]"
"Dia2_0137","GE_0275","Obesity,mild,early-onset"
"Dia2_0138","GE_0276","NULL"
"Dia2_0139","GE_0277","Hepaticlipasedeficiency"
"Dia2_0140","GE_0278","Insulin-likegrowthfactorI,resistanceto"
"Dia2_0141","GE_0279","{Diabetesmellitus,noninsulin-dependent}"
"Dia2_0142","GE_0280","NULL"
"Dia2_0143","GE_0281","{Diabetesmellitus,noninsulin-dependent}"
"Dia2_0144","GE_0282","MODY,typeIV"
"Dia2_0145","GE_0283","{Melanomaandneuralsystemtumorsyndrome}"
"Dia2_0146","GE_0284","NULL"
"Dia2_0147","GE_0285","BDVsyndrome"
"Dia2_0148","GE_0286","{Coronaryarterydisease,susceptibilityto}"
"Dia2_0149","GE_0287","Abdominalobesity-metabolicsyndrome4"
"Dia2_0150","GE_0288","Pancreaticagenesis1"
"Dia2_0151","GE_0289","Hyper-IgErecurrentinfectionsyndrome5,autosomalrecessive"
"Dia2_0152","GE_0290","NULL"
"Dia2_0153","GE_0291","NULL"
"Dia2_0154","GE_0292","{Obesity,susceptibilityto,BMIQ4}"
"Dia2_0155","GE_0293","Charsyndrome"
"Dia2_0156","GE_0294","Fanconi-Bickelsyndrome"
"Dia2_0157","GE_0295","Diabetesmellitus,noninsulin-dependent,lateonset"
"Dia2_0158","GE_0296","Adiponectindeficiency"
"Dia2_0159","GE_0297","Microphthalmia,isolated,withcoloboma10"
"Dia2_0160","GE_0298","NULL"
"Dia2_0161","GE_0299","{Microvascularcomplicationsofdiabetes6}"
"Dia2_0162","GE_0300","{Diabetesmellitus,noninsulin-dependent,susceptibilityto}"
"Dia2_0163","GE_0301","Renalcystsanddiabetessyndrome"
"Dia2_0164","GE_0302","[Glycerolquantitativetraitlocus]"
"Dia2_0165","GE_0303","{Microvascularcomplicationsofdiabetes7}"
"Dia2_0166","GE_0304","{Diabetesmellitus,ketosis-prone,susceptibilityto}"
"Dia2_0167","GE_0305","Diabetesmellitus,insulin-dependent,2"
"Dia2_0168","GE_0306","Arterialcalcification,generalized,ofinfancy,1"
"Dia2_0169","GE_0307","Interleukin1receptorantagonistdeficiency"
"Dia2_0170","GE_0308","Achromatopsia7"
"Dia2_0171","GE_0309","?Cataract41"
"Dia2_0172","GE_0310","NULL"
"Dia2_0173","GE_0311","Glycogenstoragedisease0,muscle"
"Dia2_0174","GE_0312","{Asthma,susceptibilityto}"
"Dia2_0175","GE_0313","[FastingplasmaglucoselevelQTL5]"
"Dia2_0176","GE_0314","Hemochromatosis"
"Dia2_0177","GE_0315","{Diabetesmellitus,noninsulin-dependent,5}"
"Dia2_0178","GE_0316","{Crohndisease-associatedgrowthfailure}"
"Dia2_0179","GE_0317","{Microvascularcomplicationsofdiabetes1}"
"Dia2_0180","GE_0318","{Diabetesmellitus,type2,susceptibilityto}"
"Dia2_0181","GE_0319","NULL"
"Dia2_0182","GE_0320","NULL"
"Dia2_0183","GE_0321","Diabetesmellitus,type2"
"Dia2_0184","GE_0322","Diabetesmellitus,transientneonatal3"
"Dia2_0185","GE_0323","[FastingplasmaglucoselevelQTL3]"
"Dia2_0186","GE_0324","{Type2diabetesmellitus,susceptibilityto}"
"Dia2_0187","GE_0325","{Diabetesmellitus,noninsulin-dependent,susceptibilityto}"
"Dia2_0188","GE_0326","Diabetesmellitus,insulin-dependent,20"
"Dia2_0189","GE_0327","{Diabetesmellitus,noninsulin-dependent,susceptibilityto}"
"Dia2_0190","GE_0328","{Diabetesmellitus,noninsulin-dependent1}"
"Dia2_0191","GE_0329","Carotidintimalmedialthickness1"
"Dia2_0192","GE_0330","{Diabetesmellitus,type2,susceptibilityto}"
"Dia2_0193","GE_0331","{Diabetesmellitus,noninsulin-dependent}"
"Dia2_0194","GE_0332","{Type2diabetesmellitus3}"
"Dia2_0195","GE_0333","Diabetesmellitus,noninsulin-dependent,2"
"Dia2_0196","GE_0334","Abdominalobesity-metabolicsyndrome3"
"Dia2_0197","GE_0335","{Diabetesmellitus,noninsulin-dependent,5}"
"NSclc_0001","GE_0853","{Lungcancer,susceptibilityto}"
"NSclc_0002","GE_0854","NULL"
"NSclc_0003","GE_0855","NULL"
"NSclc_0004","GE_0856","NULL"
"NSclc_0005","GE_0857","NULL"
"NSclc_0006","GE_0858","Erythrocytosis,somatic"
"NSclc_0007","GE_0859","NULL"
"NSclc_0008","GE_0860","Neurodevelopmentaldisorderwithseizuresandgingivalovergrowth"
"NSclc_0009","GE_0861","NULL"
"NSclc_0010","GE_0862","NULL"
"NSclc_0011","GE_0863","{?Deafness,autosomalrecessive26,modifierof}"
"NSclc_0012","GE_0864","NULL"
"NSclc_0013","GE_0865","NULL"
"NSclc_0014","GE_0866","NULL"
"NSclc_0015","GE_0867","NULL"
"NSclc_0016","GE_0868","NULL"
"NSclc_0017","GE_0869","NULL"
"NSclc_0018","GE_0870","NULL"
"NSclc_0019","GE_0871","Adenoma,periampullary,somatic"
"NSclc_0020","GE_0872","CarbamoylphosphatesynthetaseIdeficiency"
"NSclc_0021","GE_0873","NULL"
"NSclc_0022","GE_0874","Neurodevelopmentaldisorderwithhypotonia,craniofacialabnormalities,andseizures"
"NSclc_0023","GE_0875","NULL"
"NSclc_0024","GE_0876","NULL"
"NSclc_0025","GE_0877","Deafness,congenitalwithinnerearagenesis,microtia,andmicrodontia"
"NSclc_0026","GE_0878","NULL"
"NSclc_0027","GE_0879","Gastriccancer,somatic"
"NSclc_0028","GE_0880","?WHIMsyndrome2"
"NSclc_0029","GE_0881","NULL"
"NSclc_0030","GE_0882","Colorectalcancer,somatic"
"NSclc_0031","GE_0883","NULL"
"NSclc_0032","GE_0884","NULL"
"NSclc_0033","GE_0885","NULL"
"NSclc_0034","GE_0886","NULL"
"NSclc_0035","GE_0887","NULL"
"NSclc_0036","GE_0888","Coffin-Sirissyndrome4"
"NSclc_0037","GE_0889","NULL"
"NSclc_0038","GE_0890","NULL"
"NSclc_0039","GE_0891","NULL"
"NSclc_0040","GE_0892","NULL"
"NSclc_0041","GE_0893","NULL"
"NSclc_0042","GE_0894","Weaversyndrome"
"NSclc_0043","GE_0895","NULL"
"NSclc_0044","GE_0896","NULL"
"NSclc_0045","GE_0897","NULL"
"NSclc_0046","GE_0898","NULL"
"NSclc_0047","GE_0899","NULL"
"NSclc_0048","GE_0900","DNAtopoisomeraseII,resistancetoinhibitionof,byamsacrine"
"NSclc_0049","GE_0901","Cornealdystrophy,Fuchsendothelial,6"
"NSclc_0050","GE_0902","NULL"
"NSclc_0051","GE_0903","NULL"
"NSclc_0052","GE_0904","NULL"
"NSclc_0053","GE_0905","{Mesothelioma,somatic}"
"NSclc_0054","GE_0906","NULL"
"NSclc_0055","GE_0907","NULL"
"NSclc_0056","GE_0908","NULL"
"NSclc_0057","GE_0909","NULL"
"NSclc_0058","GE_0910","NULL"
"NSclc_0059","GE_0911","NULL"
"NSclc_0060","GE_0912","NULL"
"NSclc_0061","GE_0913","NULL"
"NSclc_0062","GE_0914","NULL"
"NSclc_0063","GE_0915","Adenocarcinomaoflung,somatic"
"NSclc_0064","GE_0916","NULL"
"NSclc_0065","GE_0917","NULL"
"NSclc_0066","GE_0918","Li-Fraumenisyndrome2"
"NSclc_0067","GE_0919","NULL"
"NSclc_0068","GE_0920","NULL"
"NSclc_0069","GE_0921","NULL"
"NSclc_0070","GE_0922","Immunodeficiency,developmentaldelay,andhypohomocysteinemia"
"NSclc_0071","GE_0923","Small-cellcanceroflung"
"NSclc_0072","GE_0924","{Lungcancersusceptibility2}"
"NSclc_0073","GE_0925","NULL"
"NSclc_0074","GE_0926","?Visceralneuropathy,familial,2,autosomalrecessive"
"NSclc_0075","GE_0927","NULL"
"NSclc_0076","GE_0928","NULL"
"NSclc_0077","GE_0929","NULL"
"NSclc_0078","GE_0930","{Melanomaandneuralsystemtumorsyndrome}"
"NSclc_0079","GE_0931","Bonemarrowfailuresyndrome5"
"NSclc_0080","GE_0932","Bladderdysfunction,autonomic,withimpairedpupillaryreflexandsecondaryCAKUT"
"NSclc_0081","GE_0933","NULL"
"NSclc_0082","GE_0934","NULL"
"NSclc_0083","GE_0935","NULL"
"NSclc_0084","GE_0936","Arteriovenousmalformationofthebrain,somatic"
"NSclc_0085","GE_0937","Breastcancer,somatic"
"NSclc_0086","GE_0938","Corticaldysplasia,complex,withotherbrainmalformations6"
"NSclc_0087","GE_0939","{Neuroblastoma,susceptibilityto,3}"
"NSclc_0088","GE_0940","?Inflammatoryskinandboweldisease,neonatal,2"
"NSclc_0089","GE_0941","{Nonsmallcelllungcancer}"
"Obe_0001","GE_0336","Mentalretardation,truncalobesity,retinaldystrophy,andmicropenis"
"Obe_0002","GE_0337","Endocrinopathyduetoproproteinconvertase1/3deficiency"
"Obe_0003","GE_0338","{Obesity,severe,susceptibilityto,BMIQ9}"
"Obe_0004","GE_0339","[Glycerolquantitativetraitlocus]"
"Obe_0005","GE_0340","Angelmansyndrome"
"Obe_0006","GE_0341","Adiponectindeficiency"
"Obe_0007","GE_0342","Achondroplasia"
"Obe_0008","GE_0343","Joubertsyndrome1"
"Obe_0009","GE_0344","Congenitalshortbowelsyndrome"
"Obe_0010","GE_0345","NULL"
"Obe_0011","GE_0346","Combinedhyperlipidemia,familial"
"Obe_0012","GE_0347","NULL"
"Obe_0013","GE_0348","NULL"
"Obe_0014","GE_0349","Charcot-Marie-Toothdisease,axonal,type2A2A"
"Obe_0015","GE_0350","NULL"
"Obe_0016","GE_0351","Cohensyndrome"
"Obe_0017","GE_0352","PlateletglycoproteinIVdeficiency"
"Obe_0018","GE_0353","{Malaria,resistanceto}"
"Obe_0019","GE_0354","NULL"
"Obe_0020","GE_0355","Lipodystrophy,familialpartial,type6"
"Obe_0021","GE_0356","{Diabetesmellitus,noninsulin-dependent1}"
"Obe_0022","GE_0357","Diarrhea7,protein-losingenteropathytype"
"Obe_0023","GE_0358","Intellectualdevelopmentaldisorder,X-linkedsyndromic,Cabezastype"
"Obe_0024","GE_0359","NULL"
"Obe_0025","GE_0360","Bardet-Biedlsyndrome2"
"Obe_0026","GE_0361","CHOPSsyndrome"
"Obe_0027","GE_0362","NULL"
"Obe_0028","GE_0363","NULL"
"Obe_0029","GE_0364","NULL"
"Obe_0030","GE_0365","NULL"
"Obe_0031","GE_0366","NULL"
"Obe_0032","GE_0367","NULL"
"Obe_0033","GE_0368","Glucocorticoidresistance"
"Obe_0034","GE_0369","Alzheimerdisease2"
"Obe_0035","GE_0370","Hypercholesterolemia,familial,2"
"Obe_0036","GE_0371","Intellectualdevelopmentaldisorder,X-linkedsyndromic7"
"Obe_0037","GE_0372","NULL"
"Obe_0038","GE_0373","Growthhormonedeficiency,isolated,typeIV"
"Obe_0039","GE_0374","Bardet-Biedlsyndrome17"
"Obe_0040","GE_0375","Bardet-Biedlsyndrome16"
"Obe_0041","GE_0376","Bardet-Biedlsyndrome7"
"Obe_0042","GE_0377","Bardet-Biedlsyndrome2"
"Obe_0043","GE_0378","Intellectualdevelopmentaldisorder,autosomalrecessive13"
"Obe_0044","GE_0379","Chromosome1p36deletionsyndrome,distal"
"Obe_0045","GE_0380","Ulnar-mammarysyndrome"
"Obe_0046","GE_0381","ChromosomeXq27.3-q28duplicationsyndrome"
"Obe_0047","GE_0382","Gallbladderdisease1"
"Obe_0048","GE_0383","Intellectualdisability-hypotonicfaciessyndrome,X-linked"
"Obe_0049","GE_0384","Adrenalhyperplasia,congenital,dueto21-hydroxylasedeficiency"
"Obe_0050","GE_0385","Carpentersyndrome"
"Obe_0051","GE_0386","Chromosome2q37deletionsyndrome"
"Obe_0052","GE_0387","NULL"
"Obe_0053","GE_0388","Abdominalobesity-metabolicsyndrome4"
"Obe_0054","GE_0389","NULL"
"Obe_0055","GE_0390","NULL"
"Obe_0056","GE_0391","?Hypogonadotropichypogonadism27withoutanosmia"
"Obe_0057","GE_0392","NULL"
"Obe_0058","GE_0393","CINCAsyndrome"
"Obe_0059","GE_0394","Rafiqsyndrome"
"Obe_0060","GE_0395","Exudativevitreoretinopathy4"
"Obe_0061","GE_0396","Immunodeficiency15A"
"Obe_0062","GE_0397","NULL"
"Obe_0063","GE_0398","NULL"
"Obe_0064","GE_0399","NULL"
"Obe_0065","GE_0400","NULL"
"Obe_0066","GE_0401","NULL"
"Obe_0067","GE_0402","Silver-Russellsyndrome5"
"Obe_0068","GE_0403","NULL"
"Obe_0069","GE_0404","NULL"
"Obe_0070","GE_0405","NULL"
"Obe_0071","GE_0406","Bardet-Biedlsyndrome20"
"Obe_0072","GE_0407","Pituitaryhormonedeficiency,combinedorisolated,7"
"Obe_0073","GE_0408","Bardet-Biedlsyndrome19"
"Obe_0074","GE_0409","Smith-Magenissyndrome"
"Obe_0075","GE_0410","Intellectualdevelopmentaldisorder,X-linkedsyndromic,Cabezastype"
"Obe_0076","GE_0411","Borjeson-Forssman-Lehmannsyndrome"
"Obe_0077","GE_0412","PseudohypoparathyroidismIa"
"Obe_0078","GE_0413","NULL"
"Obe_0079","GE_0414","Bardet-Biedlsyndrome16"
"Obe_0080","GE_0415","Smith-Magenissyndrome"
"Obe_0081","GE_0416","Lipodystrophy,familialpartial,type4"
"Obe_0082","GE_0417","Cardiomyopathy,dilated,1A"
"Obe_0083","GE_0418","Silver-Russellsyndrome3"
"Obe_0084","GE_0419","?Lipodystrophy,congenitalgeneralized,type3"
"Obe_0085","GE_0420","NULL"
"Obe_0086","GE_0421","ACTH-independentmacronodularadrenalhyperplasia"
"Obe_0087","GE_0422","Breastcancer,somatic"
"Obe_0088","GE_0423","{Majoraffectivedisorder-7,susceptibilityto}"
"Obe_0089","GE_0424","NULL"
"Obe_0090","GE_0425","Rafiqsyndrome"
"Obe_0091","GE_0426","{Obesity,susceptibilityto}"
"Obe_0092","GE_0427","Cortisonereductasedeficiency2"
"Obe_0093","GE_0428","Bardet-Biedlsyndrome4"
"Obe_0094","GE_0429","NULL"
"Obe_0095","GE_0430","NULL"
"Obe_0096","GE_0431","NULL"
"Obe_0097","GE_0432","Bardet-Biedlsyndrome22"
"Obe_0098","GE_0433","NULL"
"Obe_0099","GE_0434","NULL"
"Obe_0101","GE_0436","Camurati-Engelmanndisease"
"Obe_0102","GE_0437","BDVsyndrome"
"Obe_0103","GE_0438","Polycysticovarysyndrome1"
"Obe_0104","GE_0439","?Hypogonadotropichypogonadism27withoutanosmia"
"Obe_0105","GE_0440","BDVsyndrome"
"Obe_0106","GE_0441","Intellectualdevelopmentaldisorder,autosomaldominant49"
"Obe_0107","GE_0442","Morbidobesityandspermatogenicfailure"
"Obe_0108","GE_0443","Intellectualdevelopmentaldisorder,autosomaldominant39"
"Obe_0109","GE_0444","Obesity,mild,early-onset"
"Obe_0110","GE_0445","NULL"
"Obe_0111","GE_0446","NULL"
"Obe_0112","GE_0447","Bardet-Biedlsyndrome3"
"Obe_0113","GE_0448","Diabetesmellitus,insulin-resistant,withacanthosisnigricans"
"Obe_0114","GE_0449","Alstromsyndrome"
"Obe_0115","GE_0450","Chromosome16p11.2deletionsyndrome,593kb"
"Obe_0116","GE_0451","{Insulinresistance,susceptibilityto}"
"Obe_0117","GE_0452","{Diabetesmellitus,noninsulin-dependent,susceptibilityto}"
"Obe_0118","GE_0453","NULL"
"Obe_0119","GE_0454","{Leanness,inherited}"
"Obe_0120","GE_0455","?Retinaldystrophyandobesity"
"Obe_0121","GE_0456","{Diabetesmellitus,noninsulin-dependent}"
"Obe_0122","GE_0457","Bardet-Biedlsyndrome4"
"Obe_0123","GE_0458","Bardet-Biedlsyndrome6"
"Obe_0124","GE_0459","Spasticparaplegia,intellectualdisability,nystagmus,andobesity"
"Obe_0125","GE_0460","{?Obesity,susceptibilityto,BMIQ18}"
"Obe_0126","GE_0461","Developmentalandepilepticencephalopathy58"
"Obe_0127","GE_0462","Diabetesmellitus,insulin-dependent,2"
"Obe_0128","GE_0463","Bardet-Biedlsyndrome6"
"Obe_0129","GE_0464","{Asthma,susceptibilityto}"
"Obe_0130","GE_0465","{Obesity,associationwith}"
"Obe_0131","GE_0466","NULL"
"Obe_0132","GE_0467","{Type2diabetesmellitus,susceptibilityto}"
"Obe_0133","GE_0468","{Obesity,susceptibilityto,BMIQ19}"
"Obe_0134","GE_0469","[BodymassindexQTL13]"
"Obe_0135","GE_0470","{Obesity,susceptibilityto}"
"Obe_0136","GE_0471","[Skin/hair/eyepigmentation9,brown/nonbrowneyes]"
"Obe_0137","GE_0472","NULL"
"Obe_0138","GE_0473","Alstromsyndrome"
"Obe_0139","GE_0474","{?Obesity,susceptibilityto}"
"Obe_0140","GE_0475","{Obesity,severe,andtypeIIdiabetes}"
"Obe_0141","GE_0476","Arterialcalcification,generalized,ofinfancy,1"
"Obe_0142","GE_0477","{Bardet-Biedlsyndrome1,modifierof}"
"Obe_0143","GE_0478","{Obesity,susceptibilityto,BMIQ4}"
"Obe_0144","GE_0479","[BodymassindexQTL1]"
"Obe_0145","GE_0480","{Obesity,susceptibilityto}"
"Obe_0146","GE_0481","Carotidintimalmedialthickness1"
"Obe_0147","GE_0482","Prader-Willisyndrome"
"Obe_0148","GE_0483","Obesity,morbid,duetoleptinreceptordeficiency"
"Obe_0149","GE_0484","Obesity,adrenalinsufficiency,andredhairduetoPOMCdeficiency"
"Obe_0150","GE_0485","Obesity,morbid,duetoleptindeficiency"
"Obe_0151","GE_0486","Obesity(BMIQ20)"
"Obe_0152","GE_0487","NULL"
"Obe_0153","GE_0488","Growthretardation,developmentaldelay,facialdysmorphism"
"Obe_0154","GE_0489","{Obesity,susceptibilityto,BMIQ7}"
"Obe_0155","GE_0490","Abdominalobesity-metabolicsyndrome"
"Obe_0156","GE_0491","{Obesity,susceptibilityto,BMIQ11}"
"Obe_0157","GE_0492","{Obesity,susceptibilityto,BMIQ8}"
"Obe_0158","GE_0493","NULL"
"Obe_0159","GE_0494","Obesityandhypopigmentation"
"Obe_0160","GE_0495","Abdominalobesity-metabolicsyndrome4"
"Obe_0161","GE_0496","Chung-Jansensyndrome"
"Obe_0162","GE_0497","{Obesity,susceptibilityto,BMIQ19}"
"Obe_0163","GE_0498","Spasticparaplegia,intellectualdisability,nystagmus,andobesity"
"Obe_0164","GE_0499","Intellectualdevelopmentaldisorder,autosomaldominant39"
"Obe_0165","GE_0500","CHOPSsyndrome"
"Obe_0166","GE_0501","?Retinaldystrophyandobesity"
"Obe_0167","GE_0502","Morbidobesityandspermatogenicfailure"
"Obe_0168","GE_0503","{?Obesity,susceptibilityto,BMIQ18}"
"Obe_0169","GE_0504","Obesity,morbid,duetoleptinreceptordeficiency"
"Obe_0170","GE_0505","Obesity,morbid,duetoleptindeficiency"
"Obe_0171","GE_0506","Obesity,hyperphagia,anddevelopmentaldelay"
"Obe_0172","GE_0507","Chromosome16p11.2deletionsyndrome,220kb"
"Obe_0173","GE_0508","{Obesity,susceptibilityto,BMIQ14}"
"Obe_0174","GE_0509","{Obesity,susceptibilityto,BMIQ12}"
"Obe_0175","GE_0510","Obesity,adrenalinsufficiency,andredhairduetoPOMCdeficiency"
"Obe_0176","GE_0511","MEHMOsyndrome"
"Obe_0177","GE_0512","{Obesity,susceptibilityto}"
"Obe_0178","GE_0513","{Obesity,susceptibilityto,BMIQ4}"
"Obe_0179","GE_0514","{Obesity,severe,susceptibilityto,BMIQ9}"
"Obe_0180","GE_0515","Endocrinopathyduetoproproteinconvertase1/3deficiency"
"Obe_0181","GE_0516","Wilson-Turnersyndrome"
"Obe_0182","GE_0517","Cohensyndrome"
"Obe_0183","GE_0518","Obesity,mild,early-onset"
"Obe_0184","GE_0519","Abdominalobesity-metabolicsyndrome1"
"Obe_0185","GE_0520","NULL"
"Obe_0186","GE_0521","{Obesity,resistanceto(BMIQ20)}"
"Obe_0187","GE_0522","Abdominalobesity-metabolicsyndrome3"
"Obe_0188","GE_0523","WAGROsyndrome"
"Ova_0001","GE_1230","{Breast-ovariancancer,familial,1}"
"Ova_0002","GE_1231","?Leukoencephalopathy,motordelay,spasticity,anddysarthriasyndrome"
"Ova_0003","GE_1232","NULL"
"Ova_0004","GE_1233","NULL"
"Ova_0005","GE_1234","NULL"
"Ova_0006","GE_1235","NULL"
"Ova_0007","GE_1236","NULL"
"Ova_0008","GE_1237","?MitochondrialcomplexIIIdeficiency,nucleartype11"
"Ova_0009","GE_1238","NULL"
"Ova_0010","GE_1239","Cone-roddystrophy21"
"Ova_0011","GE_1240","NULL"
"Ova_0012","GE_1241","NULL"
"Ova_0013","GE_1242","NULL"
"Ova_0014","GE_1243","NULL"
"Ova_0015","GE_1244","Neurodevelopmentaldisorderwithepilepsy,cataracts,feedingdifficulties,anddelayedbrainmyelination"
"Ova_0016","GE_1245","NULL"
"Ova_0017","GE_1246","NULL"
"Ova_0018","GE_1247","NULL"
"Ova_0019","GE_1248","NULL"
"Ova_0020","GE_1249","NULL"
"Ova_0021","GE_1250","NULL"
"Ova_0022","GE_1251","NULL"
"Ova_0023","GE_1252","NULL"
"Ova_0024","GE_1253","NULL"
"Ova_0025","GE_1254","NULL"
"Ova_0026","GE_1255","?Arrhythmogenicrightventriculardysplasia12"
"Ova_0027","GE_1256","NULL"
"Ova_0028","GE_1257","NULL"
"Ova_0029","GE_1258","NULL"
"Ova_0030","GE_1259","NULL"
"Ova_0031","GE_1260","NULL"
"Ova_0032","GE_1261","NULL"
"Ova_0033","GE_1262","Aorticaneurysm,familialthoracic10"
"Ova_0034","GE_1263","Insulin-likegrowthfactorI,resistanceto"
"Ova_0035","GE_1264","NULL"
"Ova_0036","GE_1265","NULL"
"Ova_0037","GE_1266","Combinedoxidativephosphorylationdeficiency17"
"Ova_0038","GE_1267","NULL"
"Ova_0039","GE_1268","NULL"
"Ova_0040","GE_1269","NULL"
"Ova_0041","GE_1270","NULL"
"Ova_0042","GE_1271","Developmentalandepilepticencephalopathy90"
"Ova_0043","GE_1272","NULL"
"Ova_0044","GE_1273","Coloboma,ocular,withorwithouthearingimpairment,cleftlip/palate,and/orimpairedintellectualdevelopment"
"Ova_0045","GE_1274","NULL"
"Ova_0046","GE_1275","Lessel-Kreienkampsyndrome"
"Ova_0047","GE_1276","NULL"
"Ova_0048","GE_1277","Immunodeficiency-centromericinstability-facialanomaliessyndrome4"
"Ova_0049","GE_1278","Squamouscellcarcinoma,headandneck"
"Ova_0050","GE_1279","NULL"
"Ova_0051","GE_1280","Lungcancer,somatic"
"Ova_0052","GE_1281","NULL"
"Ova_0053","GE_1282","NULL"
"Ova_0054","GE_1283","NULL"
"Ova_0055","GE_1284","Cowdensyndrome1"
"Ova_0056","GE_1285","NULL"
"Ova_0057","GE_1286","Weaversyndrome"
"Ova_0058","GE_1287","Squamouscellcarcinoma,headandneck,somatic"
"Ova_0059","GE_1288","NULL"
"Ova_0060","GE_1289","NULL"
"Ova_0061","GE_1290","NULL"
"Ova_0062","GE_1291","NULL"
"Ova_0063","GE_1292","{Melanomaandneuralsystemtumorsyndrome}"
"Ova_0064","GE_1293","NULL"
"Ova_0065","GE_1294","Autoimmunelymphoproliferativesyndrome,typeIA"
"Ova_0066","GE_1295","?ABCDsyndrome"
"Ova_0067","GE_1296","Arteriovenousmalformationofthebrain,somatic"
"Ova_0068","GE_1297","{T-cellacutelymphoblasticleukemia}"
"Ova_0069","GE_1298","NULL"
"Ova_0070","GE_1299","Coffin-Sirissyndrome2"
"Ova_0071","GE_1300","Keratolyticwintererythema"
"Ova_0072","GE_1301","NULL"
"Ova_0073","GE_1302","{Melanoma,cutaneousmalignant,1}"
"Ova_0074","GE_1303","{Endometriosis,susceptibilityto,1}"
"Ova_0075","GE_1304","Tumorpredispositionsyndrome2"
"Ova_0076","GE_1305","Lynchsyndrome4"
"Ova_0077","GE_1306","Tumorpredispositionsyndrome1"
"Ova_0078","GE_1307","{Pancreaticcancer,susceptibilityto,4}"
"Ova_0079","GE_1308","Gastriccancer,somatic"
"Ova_0080","GE_1309","{Pancreaticcancer2}"
"Ova_0081","GE_1310","{Rhabdoidtumorpredispositionsyndrome2}"
"Ova_0082","GE_1311","Muir-Torresyndrome"
"Ova_0083","GE_1312","?Spermatogenicfailure63"
"Ova_0084","GE_1313","NULL"
"Ova_0085","GE_1314","NULL"
"Ova_0086","GE_1315","NULL"
"Ova_0087","GE_1316","NULL"
"Ova_0088","GE_1317","NULL"
"Ova_0089","GE_1318","NULL"
"Ova_0090","GE_1319","Xerodermapigmentosum,groupA"
"Ova_0091","GE_1320","Fanconianemia,complementationgroupN"
"Ova_0092","GE_1321","NULL"
"Ova_0093","GE_1322","?Prematureovarianfailure15"
"Ova_0094","GE_1323","NULL"
"Ova_0095","GE_1324","{Colchicineresistance}"
"Ova_0096","GE_1325","Leukoencephalopathy,cystic,withoutmegalencephaly"
"Ova_0097","GE_1326","NULL"
"Ova_0098","GE_1327","NULL"
"Ova_0099","GE_1328","NULL"
"Ova_0101","GE_1330","NULL"
"Ova_0102","GE_1331","NULL"
"Ova_0103","GE_1332","NULL"
"Ova_0104","GE_1333","Developmentalandepilepticencephalopathy28"
"Ova_0105","GE_1334","NULL"
"Ova_0106","GE_1335","NULL"
"Ova_0107","GE_1336","NULL"
"Ova_0108","GE_1337","Li-Fraumenisyndrome2"
"Ova_0109","GE_1338","NULL"
"Ova_0110","GE_1339","Tumorpredispositionsyndrome2"
"Ova_0111","GE_1340","NULL"
"Ova_0112","GE_1341","CARASILsyndrome"
"Ova_0113","GE_1342","NULL"
"Ova_0114","GE_1343","Intellectualdevelopmentaldisorder,autosomalrecessive7"
"Ova_0115","GE_1344","Lynchsyndrome5"
"Ova_0116","GE_1345","NULL"
"Ova_0117","GE_1346","NULL"
"Ova_0118","GE_1347","NULL"
"Ova_0119","GE_1348","Noonansyndrome12"
"Ova_0120","GE_1349","Homocysteineplasmalevel"
"Ova_0121","GE_1350","Breastcancer,somatic"
"Ova_0122","GE_1351","Developmentalandepilepticencephalopathy33"
"Ova_0123","GE_1352","Multicentricosteolysis,nodulosis,andarthropathy"
"Ova_0124","GE_1353","Colorectalcancer,somatic"
"Ova_0125","GE_1354","NULL"
"Ova_0126","GE_1355","Prematureovarianfailure8"
"Ova_0127","GE_1356","{Melanoma,cutaneousmalignant,9}"
"Ova_0128","GE_1357","Prostatecancer,somatic"
"Ova_0129","GE_1358","Tylosiswithesophagealcancer"
"Ova_0130","GE_1359","Pancreaticcarcinoma,somatic"
"Ova_0131","GE_1360","NULL"
"Ova_0132","GE_1361","NULL"
"Ova_0133","GE_1362","NULL"
"Ova_0134","GE_1363","?Spondyloepimetaphysealdysplasia,Krakowtype"
"Ova_0135","GE_1364","Radioulnarsynostosiswithamegakaryocyticthrombocytopenia1"
"Ova_0136","GE_1365","NULL"
"Ova_0137","GE_1366","NULL"
"Ova_0138","GE_1367","NULL"
"Ova_0139","GE_1368","Breastcancer,somatic"
"Ova_0140","GE_1369","NULL"
"Ova_0141","GE_1370","NULL"
"Ova_0142","GE_1371","NULL"
"Ova_0143","GE_1372","NULL"
"Ova_0144","GE_1373","{Microvascularcomplicationsofdiabetes1}"
"Ova_0145","GE_1374","Blepharocheilodonticsyndrome1"
"Ova_0146","GE_1375","Bonemarrowfailuresyndrome5"
"Ova_0147","GE_1376","NULL"
